val_mIoU,val_F1,val_OA,val_Dice,epoch,step,train_mIoU,train_F1,train_OA,train_Dice
0.7981434549092215,0.876927017053911,0.975613722280294,0.876927017053911,0,713,,,,
,,,,0,713,0.7384984371492143,0.8314684348540142,0.9570603504234335,0.0
0.8184533548271561,0.8922947886711199,0.9732291177541268,0.8922947886711199,1,1427,,,,
,,,,1,1427,0.8103136627991332,0.8865090985190807,0.9719651239592823,0.0
0.8464194581836285,0.9112568438472652,0.9795390390882305,0.9112568438472652,2,2141,,,,
,,,,2,2141,0.8275161535016711,0.8986390752230016,0.9744748768686247,0.0
0.8509956005924126,0.9142969419868202,0.980215404547897,0.9142969419868202,3,2855,,,,
,,,,3,2855,0.8333879031212998,0.9026228439676507,0.9758796464829218,0.0
0.8496522102797619,0.9134366581926467,0.9796997178502443,0.9134366581926467,4,3569,,,,
,,,,4,3569,0.8400670148754799,0.9071310619923771,0.9771734178901053,0.0
0.8559732529266411,0.9175568941474544,0.9811220275921648,0.9175568941474544,5,4283,,,,
,,,,5,4283,0.8446491931154723,0.9102178219139521,0.9777684251801306,0.0
0.8603954838354728,0.9204272034332124,0.981920946212042,0.9204272034332124,6,4997,,,,
,,,,6,4997,0.846283086499563,0.9112845945217514,0.9782640112548315,0.0
0.8581094634518913,0.9189806427270715,0.9811111424817425,0.9189806427270715,7,5711,,,,
,,,,7,5711,0.8494885814232203,0.9134266775120677,0.9786073046238148,0.0
0.8603211273680507,0.9204186559254004,0.9814393266576344,0.9204186559254003,8,6425,,,,
,,,,8,6425,0.8535357115661086,0.9160868532737274,0.9793066985132981,0.0
0.8645193361569319,0.9230900585477497,0.9825634622440285,0.9230900585477496,9,7139,,,,
,,,,9,7139,0.8551768615126014,0.9171444597520029,0.979761741408447,0.0
0.8649484223357076,0.9233859909742166,0.9823822474279323,0.9233859909742166,10,7853,,,,
,,,,10,7853,0.8560609618094394,0.9177675190652912,0.9793812767798159,0.0
0.863837399766728,0.9226779047363933,0.9821312821545854,0.9226779047363933,11,8567,,,,
,,,,11,8567,0.8612834604987611,0.9211552782788984,0.9802304396108419,0.0
0.8645993195672826,0.9231817591416953,0.9820806465896905,0.9231817591416952,12,9281,,,,
,,,,12,9281,0.8593231601344429,0.9198434229748057,0.9804341599386948,0.0
0.8664978996907208,0.9243867780979047,0.9825361663219976,0.9243867780979047,13,9995,,,,
,,,,13,9995,0.8623900365955426,0.9218642265139199,0.9804634947736725,0.0
0.866391259396712,0.9243245319043496,0.9824439831474582,0.9243245319043496,14,10709,,,,
,,,,14,10709,0.8607066151286783,0.9207594381346613,0.9804153148533583,0.0
0.8494643576568662,0.9133049754331514,0.979749353659921,0.9133049754331515,15,11423,,,,
,,,,15,11423,0.8495226087041199,0.9134554185692731,0.9785449084113625,0.0
0.852284858218479,0.915215566834119,0.9796608222298929,0.915215566834119,16,12137,,,,
,,,,16,12137,0.8456365188749408,0.9108639150188415,0.9780562752101267,0.0
0.8637707047158242,0.9226299458679084,0.9821822316038842,0.9226299458679085,17,12851,,,,
,,,,17,12851,0.8535781981238887,0.916119503880748,0.9792597380672851,0.0
0.8623818486492021,0.9217240790791311,0.9820915711026231,0.9217240790791312,18,13565,,,,
,,,,18,13565,0.8573488315336959,0.9185965224355706,0.9797028820721709,0.0
