val_mIoU,val_F1,val_OA,val_Dice,epoch,step,train_mIoU,train_F1,train_OA,train_Dice
0.8101733968473213,0.8860074688798079,0.9751913547515869,0.0,0,1427,,,,
,,,,0,1427,0.7485252307347403,0.839659159146702,0.9592080209769455,0.0
0.8310989244759757,0.9009089940881215,0.9768954305087819,0.0,1,2855,,,,
,,,,1,2855,0.811468744001915,0.8873711409795253,0.9718578790082317,0.0
0.8359952979575606,0.9042799943710172,0.9774569283012583,0.0,2,4283,,,,
,,,,2,4283,0.8238584493165703,0.8960764928036566,0.9741216313605215,0.0
0.8418456798887677,0.9082467083738812,0.9782828663577553,0.0,3,5711,,,,
,,,,3,5711,0.831241844506698,0.9011968935372933,0.9751310268370044,0.0
0.850309982206556,0.9138603298498398,0.9799280159947585,0.0,4,7139,,,,
,,,,4,7139,0.8354065435203799,0.9040055084855545,0.9761358215695336,0.0
0.852746870808478,0.915464455763206,0.9803458736056373,0.0,5,8567,,,,
,,,,5,8567,0.8415023314169112,0.9081330060412002,0.9770348526182628,0.0
0.8586535857979423,0.9193080405791585,0.9815071129999241,0.0,6,9995,,,,
,,,,6,9995,0.844381325642956,0.9100370635428607,0.9777453313020765,0.0
0.8570661750211916,0.9183054762662917,0.9808940860737606,0.0,7,11423,,,,
,,,,7,11423,0.8477183115026259,0.9122643926710099,0.9782153371335411,0.0
0.8562799859464949,0.9178076093355605,0.9805952988418878,0.0,8,12851,,,,
,,,,8,12851,0.8492680972208326,0.9132982564419778,0.9783836452900863,0.0
0.8613338928609462,0.9210588811576221,0.9817826213622961,0.0,9,14279,,,,
,,,,9,14279,0.8540154279879251,0.9164483919847705,0.9788526714015073,0.0
0.8639858881921375,0.9227694109056369,0.9822041414031127,0.0,10,15707,,,,
,,,,10,15707,0.856136985638487,0.9178159799165899,0.9794063387798662,0.0
0.8640372940445318,0.9228053902178901,0.9821766785212925,0.0,11,17135,,,,
,,,,11,17135,0.8570714244944743,0.9184503328805806,0.9792609415134462,0.0
0.8644042307853792,0.9230510090570833,0.9821160560896417,0.0,12,18563,,,,
,,,,12,18563,0.8591738489811267,0.9197796997808916,0.9800206973773091,0.0
0.864312672827398,0.9229953635419834,0.9820622182359883,0.0,13,19991,,,,
,,,,13,19991,0.8610268213202614,0.9209849537292057,0.98024448961103,0.0
0.8650226920364965,0.9234495266263625,0.9821983338738022,0.0,14,21419,,,,
,,,,14,21419,0.8592827562238088,0.9198540094162833,0.9799944486270765,0.0
0.8599523144122424,0.9201512126072451,0.9817164077812216,0.0,15,22847,,,,
,,,,15,22847,0.8486251021587125,0.9128771272900247,0.9782339618319557,0.0
0.8595626788369488,0.9199178559179748,0.9814254763413545,0.0,16,24275,,,,
,,,,16,24275,0.8481871800972203,0.9126035046924251,0.9779870343141529,0.0
0.8574059426120664,0.918546619875268,0.9807205059949089,0.0,17,25703,,,,
,,,,17,25703,0.849608774639077,0.9135366372474034,0.978294845388717,0.0
0.8631495332523201,0.92224416393961,0.9819104992041067,0.0,18,27131,,,,
,,,,18,27131,0.8544716976127544,0.9167359886385142,0.9790505514759309,0.0
0.8582498880151391,0.9191020775519754,0.9807831172515699,0.0,19,28559,,,,
,,,,19,28559,0.8511135592213193,0.9145145492593197,0.9786986950732747,0.0
0.8630856973180812,0.9222028693979156,0.9819023595804593,0.0,20,29987,,,,
,,,,20,29987,0.8553888155118212,0.9173409952700816,0.9791346350971725,0.0
