val_mIoU,val_F1,val_OA,epoch,step,train_mIoU,train_F1,train_OA
0.8487074703366024,0.9127209412110242,0.9805163675997438,0,2855,,,
,,,0,2855,0.22773128045542385,0.8765734431840275,0.971993572497494
0.8516351293553722,0.9146472811727234,0.9811055199438784,1,5711,,,
,,,1,5711,0.8386300262339207,0.9059421383696864,0.9791226450839667
0.8548691245139989,0.9167361580481415,0.982054928771588,2,8567,,,
,,,2,8567,0.8496594628990222,0.9133420435401526,0.9807781168429829
0.8665684135955676,0.9243753345913953,0.9832550510972822,3,11423,,,
,,,3,11423,0.8533474046531202,0.9158102933714559,0.980988224681352
0.864396742320181,0.9229455527846671,0.9833493640108937,4,14279,,,
,,,4,14279,0.8610399523265508,0.9208366024156146,0.9821189259429086
0.8715918310752533,0.9275902305431813,0.9838797438378427,5,17135,,,
,,,5,17135,0.866756254445345,0.9245262834040531,0.9829008723952635
0.8741730990850021,0.9292211209607706,0.9843129477247137,6,19991,,,
,,,6,19991,0.8685825916657077,0.925688923398065,0.9832431663800503
0.8762781286582122,0.9305567426813486,0.9845070164410674,7,22847,,,
,,,7,22847,0.871138554916932,0.927310769844967,0.9837023981108014
0.8765342966984828,0.9307116719537452,0.9846294266836983,8,25703,,,
,,,8,25703,0.8766722264276827,0.9308291724719127,0.9842271665305391
0.8791337826586889,0.9323540028671222,0.9848448936344862,9,28559,,,
,,,9,28559,0.8784914740257881,0.9319597344588513,0.9846421042002141
0.8799898472197024,0.932876780528375,0.9851443453663203,10,31415,,,
,,,10,31415,0.8793040579856011,0.932461837114128,0.9848510182389878
0.8817531012980643,0.9339804917325939,0.9853412944729588,11,34271,,,
,,,11,34271,0.882020309352398,0.9341621489056097,0.9851579841259963
0.8821873340529351,0.9342551931875347,0.9853391386881596,12,37127,,,
,,,12,37127,0.8828062380112724,0.9346537594850312,0.9852266860757704
0.8823207029592578,0.9343278423343826,0.9855076405180603,13,39983,,,
,,,13,39983,0.8823567798760794,0.9343640751628617,0.9853127462040996
0.8828249042587126,0.934648068867311,0.985481303613059,14,42839,,,
,,,14,42839,0.8858574249100535,0.9365434995630804,0.9856626372303208
0.8760602506644116,0.9304239966169734,0.9844156400162298,15,45695,,,
,,,15,45695,0.8737226254457191,0.9289529218348743,0.9840260291077287
0.8775564358006875,0.9313681863141814,0.9845802964282637,16,48551,,,
,,,16,48551,0.8741547385195909,0.9292165795018191,0.9842156559516438
0.8750839947849904,0.9297926890009456,0.9844929697800752,17,51407,,,
,,,17,51407,0.8745103782364498,0.9294461640793509,0.9842008566359215
0.8802670790492584,0.9330448705899788,0.9852563620281487,18,54263,,,
,,,18,54263,0.8776700339816974,0.9314525874020269,0.9844149240184491
0.8786962204223582,0.9320640534872875,0.9850063023446989,19,57119,,,
,,,19,57119,0.8791363237227945,0.9323638259083425,0.9847295187063541
