val_mIoU,val_F1,val_OA,val_Dice,epoch,step,train_mIoU,train_F1,train_OA,train_Dice
0.846885377749181,0.9115175026973078,0.9801394264905059,0.9115175026973078,0,2855,,,,
,,,,0,2855,0.19870981334323062,0.8749033800341381,0.9718434695621684,0.21872584500853454
0.852391896264769,0.9151453795706013,0.9812365005664131,0.9151453795706014,1,5711,,,,
,,,,1,5711,0.8386192144693538,0.9059351910610589,0.9791171643506171,0.9059351910610589
0.8614185452572887,0.9210515914872607,0.9825375774661366,0.9210515914872606,2,8567,,,,
,,,,2,8567,0.8493456748737866,0.9131359629231031,0.9807077610266383,0.9131359629231031
0.8570677876180938,0.9182064843457196,0.9820466929791021,0.9182064843457197,3,11423,,,,
,,,,3,11423,0.8550310884145894,0.9169174797786862,0.9812313531590072,0.9169174797786861
0.8670816288307965,0.9246787214187224,0.9836524113887498,0.9246787214187224,4,14279,,,,
,,,,4,14279,0.8609513556977529,0.9207793374833413,0.9821037380932055,0.9207793374833413
0.8723634179664921,0.9280702873014214,0.984118615879732,0.9280702873014215,5,17135,,,,
,,,,5,17135,0.8665763930431944,0.9244106278675122,0.9828788794129577,0.924410627867512
0.8733837229563737,0.928723468244669,0.9841774979225394,0.928723468244669,6,19991,,,,
,,,,6,19991,0.868606228009695,0.9257034330659193,0.9832541002427311,0.9257034330659193
0.8757611663426111,0.9302295780382791,0.9844552589063885,0.9302295780382792,7,22847,,,,
,,,,7,22847,0.8721708076219825,0.9279671058400897,0.9838406372545221,0.9279671058400897
0.8778205720943382,0.9315278541599157,0.9847026298693916,0.9315278541599157,8,25703,,,,
,,,,8,25703,0.8758535373960487,0.930314599373246,0.9841029713022498,0.930314599373246
0.8794106161552315,0.9325303426860168,0.9848401446302398,0.9325303426860169,9,28559,,,,
,,,,9,28559,0.8774560919459049,0.931310734175116,0.984489285088832,0.931310734175116
0.8800051187359396,0.9328898829946848,0.9850960799625942,0.9328898829946846,10,31415,,,,
,,,,10,31415,0.8788620588469989,0.9321856841424749,0.9847812130189261,0.9321856841424749
0.8810523017269687,0.933541647069565,0.9852723420835009,0.933541647069565,11,34271,,,,
,,,,11,34271,0.8815171268725404,0.9338496782018426,0.9850751593073617,0.9338496782018426
0.8821356470056468,0.9342231456490524,0.9853301863042581,0.9342231456490524,12,37127,,,,
,,,,12,37127,0.8825134772643888,0.9344726996521665,0.9851724198403998,0.9344726996521665
0.8821697588874003,0.9342351448032804,0.985468579941437,0.9342351448032804,13,39983,,,,
,,,,13,39983,0.881911101010497,0.9340868316628295,0.9852487173475212,0.9340868316628295
0.8825221502570455,0.9344585270214871,0.9854579446028594,0.9344585270214871,14,42839,,,,
,,,,14,42839,0.8854745236571803,0.9363072554087042,0.9856036646582054,0.9363072554087042
0.8737780597730211,0.9290000229493982,0.9838730841457677,0.9290000229493982,15,45695,,,,
,,,,15,45695,0.8739146447147359,0.9290741255561601,0.9840565048345998,0.9290741255561601
0.8786396195379605,0.9320464287003571,0.9847487368169618,0.9320464287003571,16,48551,,,,
,,,,16,48551,0.8741507697934414,0.9292141947163317,0.9842134313052071,0.9292141947163317
0.8765246198146481,0.9307073027524797,0.9846044882338922,0.9307073027524797,17,51407,,,,
,,,,17,51407,0.8755879396036697,0.9301279121880535,0.9843286831283213,0.9301279121880535
0.8805277991236898,0.9332074685505225,0.9852964744514444,0.9332074685505225,18,54263,,,,
,,,,18,54263,0.8778878736506839,0.9315899981153872,0.9844355759797273,0.9315899981153873
0.8790234730709892,0.9322729562878053,0.9849976898909283,0.9322729562878053,19,57119,,,,
,,,,19,57119,0.878331713013597,0.9318609823999696,0.9846003387265958,0.9318609823999695
0.8823715272363455,0.9343621662499212,0.9854755808993214,0.9343621662499212,20,59975,,,,
,,,,20,59975,0.8802853071512223,0.933074146608625,0.9850047159298833,0.933074146608625
0.8817139897748015,0.9339508961657357,0.9854112332608519,0.9339508961657358,21,62831,,,,
,,,,21,62831,0.8817464963304928,0.9339954983863149,0.9850646398017757,0.933995498386315
0.8832651904823061,0.934919169120549,0.9855786538591572,0.934919169120549,22,65687,,,,
,,,,22,65687,0.8834385707919749,0.9350464642981737,0.9853149376069872,0.9350464642981737
0.8845093272799497,0.9356937324806629,0.9857104839730997,0.9356937324806629,23,68543,,,,
,,,,23,68543,0.8840068829033703,0.9354037885392188,0.9853234978208949,0.9354037885392188
0.8846224893609431,0.9357644320175946,0.9857173513631526,0.9357644320175947,24,71399,,,,
,,,,24,71399,0.8870219593597559,0.9372623157942845,0.9858208417966661,0.9372623157942844
0.8853915316157737,0.9362366128099424,0.9858812417636732,0.9362366128099424,25,74255,,,,
,,,,25,74255,0.8882313610442868,0.9380104208058535,0.9859337636031653,0.9380104208058534
0.8857186679080309,0.9364342570671611,0.9859961434906604,0.9364342570671611,26,77111,,,,
,,,,26,77111,0.8883528787483297,0.9380729955476157,0.9861377169326796,0.9380729955476157
0.8858379738413555,0.9365098659867143,0.9859846880455979,0.9365098659867143,27,79967,,,,
,,,,27,79967,0.8896600940361368,0.9388793538758309,0.9862619546058576,0.9388793538758309
0.8880314011235013,0.9378748871409033,0.986099079543469,0.9378748871409033,28,82823,,,,
,,,,28,82823,0.8899434423539003,0.9390574835939405,0.9862319781258586,0.9390574835939405
0.8879038870850908,0.9377958997660286,0.9860894700058368,0.9377958997660285,29,85679,,,,
